"microorganism","scenario","event","variable","mean","sd","min","max","median"
"E.coli","Baseline","Hand to face touch","Conc.l",1734.32887367336,1261.10180489487,19.3261431930375,7510.35670390874,1514.91476523966
"E.coli","Baseline","Washer to dryer","Conc.l",1734.32887367336,1261.10180489487,19.3261431930375,7510.35670390874,1514.91476523966
"E.coli","Intervention","Hand to face touch","Conc.l",0.151053730197903,0.109837375529133,0.00168323670554132,0.654124723668707,0.131943560241061
"E.coli","Intervention","Washer to dryer","Conc.l",0.151053730197903,0.109837375529133,0.00168323670554132,0.654124723668707,0.131943560241061
"E.faecium","Baseline","Hand to face touch","Conc.l",0.479560337233559,0.346357994687335,0.00488456652934828,2.09050863848146,0.419164022774187
"E.faecium","Baseline","Washer to dryer","Conc.l",0.479560337233559,0.346357994687335,0.00488456652934828,2.09050863848146,0.419164022774187
"E.faecium","Intervention","Hand to face touch","Conc.l",1.41528289198692e-05,1.02217490965093e-05,1.44153778096785e-07,6.16952838231228e-05,1.23704073149778e-05
"E.faecium","Intervention","Washer to dryer","Conc.l",1.41528289198692e-05,1.02217490965093e-05,1.44153778096785e-07,6.16952838231228e-05,1.23704073149778e-05
"Influenza A","Baseline","Hand to face touch","Conc.l",23947.3268415722,2715604.77358994,3.78642374867581e-13,476990577.382134,0.00623561251437757
"Influenza A","Baseline","Washer to dryer","Conc.l",23947.3268415722,2715604.77358994,3.78642374867581e-13,476990577.382134,0.00623561251437757
"Influenza A","Intervention","Hand to face touch","Conc.l",523.910426601686,59410.9590947428,8.28379256936415e-15,10435416.8018217,0.000136420337607748
"Influenza A","Intervention","Washer to dryer","Conc.l",523.910426601686,59410.9590947428,8.28379256936415e-15,10435416.8018217,0.000136420337607748
