"microorganism","scenario","event","variable","mean","sd","min","max","median"
"E.coli","Baseline","Hand to face touch","Conc.h",62.2829614879426,69.9871529707197,0.0142776585121235,715.259100579977,38.3722306991038
"E.coli","Baseline","Washer to dryer","Conc.h",65.3883562056678,73.4617009614577,0.0149028730361616,726.896835301582,40.2902687069638
"E.coli","Intervention","Hand to face touch","Conc.h",0.00542461917306348,0.00609562620021833,1.24353207138861e-06,0.0622964633989894,0.00334208158043143
"E.coli","Intervention","Washer to dryer","Conc.h",0.00569508774622154,0.00639824667936712,1.2979859800235e-06,0.0633100677201979,0.00350913570733123
"E.faecium","Baseline","Hand to face touch","Conc.h",0.0177182850931519,0.0190438223651672,1.93189741435027e-05,0.202646484373326,0.0114362101280081
"E.faecium","Baseline","Washer to dryer","Conc.h",0.0190771034178771,0.0205025960221536,2.08198826651387e-05,0.216698243014585,0.012315274919646
"E.faecium","Intervention","Hand to face touch","Conc.h",5.22903664476155e-07,5.62023042750771e-07,5.70143347420345e-10,5.98052174434067e-06,3.3750648847873e-07
"E.faecium","Intervention","Washer to dryer","Conc.h",5.63005236249077e-07,6.05074505511932e-07,6.14438298194689e-10,6.39521854187038e-06,3.63449529717923e-07
"Influenza A","Baseline","Hand to face touch","Conc.h",502.962998566528,55967.6999357303,4.90355917997831e-15,8945874.67211628,0.000125597126409325
"Influenza A","Baseline","Washer to dryer","Conc.h",537.775945146233,59765.8387089938,5.21394682802279e-15,9575371.94482883,0.000133342106910808
"Influenza A","Intervention","Hand to face touch","Conc.h",11.0036314653044,1224.43986100115,1.07278185947221e-16,195714.413003183,2.74776573236662e-06
"Influenza A","Intervention","Washer to dryer","Conc.h",11.7652557507413,1307.53408350695,1.14068727796618e-16,209486.312759397,2.91720744356043e-06
